"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
50,97,"GIN","Guinea",3,"Faranah",7,"Dabola",50,"Konindou","Sub-prefecture","Sub-prefecture",NA,NA
51,97,"GIN","Guinea",3,"Faranah",7,"Dabola",51,"N'Déma","Sub-prefecture","Sub-prefecture",NA,NA
52,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",52,"Banora","Sub-prefecture","Sub-prefecture",NA,NA
53,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",53,"Dialakoro","Sub-prefecture","Sub-prefecture",NA,NA
54,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",54,"Diatiféré","Sub-prefecture","Sub-prefecture",NA,NA
55,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",55,"Dinguiraye-Centre","Sub-prefecture","Sub-prefecture",NA,NA
56,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",56,"Gagnakaly","Sub-prefecture","Sub-prefecture",NA,NA
57,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",57,"Kalinko","Sub-prefecture","Sub-prefecture",NA,NA
58,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",58,"Lansanya","Sub-prefecture","Sub-prefecture",NA,NA
59,97,"GIN","Guinea",3,"Faranah",8,"Dinguiraye",59,"Sélouma","Sub-prefecture","Sub-prefecture",NA,NA
60,97,"GIN","Guinea",3,"Faranah",9,"Faranah",60,"Banian","Sub-prefecture","Sub-prefecture",NA,NA
61,97,"GIN","Guinea",3,"Faranah",9,"Faranah",61,"Beindou","Sub-prefecture","Sub-prefecture",NA,NA
62,97,"GIN","Guinea",3,"Faranah",9,"Faranah",62,"Faranah-Centre","Sub-prefecture","Sub-prefecture",NA,NA
63,97,"GIN","Guinea",3,"Faranah",9,"Faranah",63,"Gnaléah","Sub-prefecture","Sub-prefecture",NA,NA
64,97,"GIN","Guinea",3,"Faranah",9,"Faranah",64,"Hérémakonon","Sub-prefecture","Sub-prefecture",NA,NA
65,97,"GIN","Guinea",3,"Faranah",9,"Faranah",65,"Kobikoro","Sub-prefecture","Sub-prefecture",NA,NA
66,97,"GIN","Guinea",3,"Faranah",9,"Faranah",66,"Marela","Sub-prefecture","Sub-prefecture",NA,NA
67,97,"GIN","Guinea",3,"Faranah",9,"Faranah",67,"Passayah","Sub-prefecture","Sub-prefecture",NA,NA
68,97,"GIN","Guinea",3,"Faranah",9,"Faranah",68,"Sandéniah","Sub-prefecture","Sub-prefecture",NA,NA
69,97,"GIN","Guinea",3,"Faranah",9,"Faranah",69,"Songoyah","Sub-prefecture","Sub-prefecture",NA,NA
70,97,"GIN","Guinea",3,"Faranah",9,"Faranah",70,"Tiro","Sub-prefecture","Sub-prefecture",NA,NA
71,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",71,"Albadariah","Sub-prefecture","Sub-prefecture",NA,NA
72,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",72,"Banama","Sub-prefecture","Sub-prefecture",NA,NA
73,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",73,"Bardou","Sub-prefecture","Sub-prefecture",NA,NA
74,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",74,"Beindou","Sub-prefecture","Sub-prefecture",NA,NA
75,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",75,"Fermessadou-Pombo","Sub-prefecture","Sub-prefecture",NA,NA
76,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",76,"Firawa","Sub-prefecture","Sub-prefecture",NA,NA
77,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",77,"Gbangbadou","Sub-prefecture","Sub-prefecture",NA,NA
78,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",78,"Kissidougou-Centre","Sub-prefecture","Sub-prefecture",NA,NA
79,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",79,"Kondiadou","Sub-prefecture","Sub-prefecture",NA,NA
80,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",80,"Manfran","Sub-prefecture","Sub-prefecture",NA,NA
81,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",81,"Sangardo","Sub-prefecture","Sub-prefecture",NA,NA
82,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",82,"Yendé-Millimou","Sub-prefecture","Sub-prefecture",NA,NA
83,97,"GIN","Guinea",3,"Faranah",10,"Kissidougou",83,"Yombiro","Sub-prefecture","Sub-prefecture",NA,NA
84,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",84,"Banankoro","Sub-prefecture","Sub-prefecture",NA,NA
85,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",85,"Damaro","Sub-prefecture","Sub-prefecture",NA,NA
