"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,97,"GIN","Guinea",1,"Boké","Region","Region",NA,NA
2,97,"GIN","Guinea",2,"Conarky","Region","Region",NA,NA
3,97,"GIN","Guinea",3,"Faranah","Region","Region",NA,NA
4,97,"GIN","Guinea",4,"Kankan","Region","Region",NA,NA
5,97,"GIN","Guinea",5,"Kindia","Region","Region",NA,NA
6,97,"GIN","Guinea",6,"Labé","Region","Region",NA,NA
7,97,"GIN","Guinea",7,"Mamou","Region","Region",NA,NA
8,97,"GIN","Guinea",8,"Nzérékoré","Region","Region",NA,NA
