"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,31,"BWA","Botswana",1,"Central","District","District",NA,"Centre|Ngwato|Serowe-Palapye"
2,31,"BWA","Botswana",2,"Ghanzi","District","District",NA,"Ghantsi"
3,31,"BWA","Botswana",3,"Kgalagadi","District","District",NA,NA
4,31,"BWA","Botswana",4,"Kgatleng","District","District",NA,NA
5,31,"BWA","Botswana",5,"Kweneng","District","District",NA,NA
6,31,"BWA","Botswana",6,"North-East","District","District",NA,"North East|Bokone-Botlhaba"
7,31,"BWA","Botswana",7,"North-West","District","District",NA,"North West|Bokone-Bophirima"
8,31,"BWA","Botswana",8,"South-East","District","District",NA,"Borwa-Botlhaba"
9,31,"BWA","Botswana",9,"Southern","District","District",NA,"Borwa|Ngwakets|Ngwaketse"
