"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,199,"STP","Sao Tome and Principe",1,"Príncipe","Concelho","Municipality",NA,NA
2,199,"STP","Sao Tome and Principe",2,"São Tomé","Concelho","Municipality",NA,NA
