"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,204,"SLE","Sierra Leone",1,"Eastern","Province","Province",NA,NA
2,204,"SLE","Sierra Leone",2,"Northern","Province","Province",NA,NA
3,204,"SLE","Sierra Leone",3,"Southern","Province","Province",NA,NA
4,204,"SLE","Sierra Leone",4,"Western","Province","Province",NA,NA
