"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,221,"SWZ","Swaziland",1,"Hhohho","District","District",NA,NA
2,221,"SWZ","Swaziland",2,"Lubombo","District","District",NA,NA
3,221,"SWZ","Swaziland",3,"Manzini","District","District",NA,NA
4,221,"SWZ","Swaziland",4,"Shiselweni","District","District",NA,"Shiselwini"
