"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,230,"TGO","Togo",1,"Centre","Région","Region",NA,"Région Centrale, Région du Centre"
2,230,"TGO","Togo",2,"Kara","Région","Region",NA,"Région de la Kara"
3,230,"TGO","Togo",3,"Maritime","Région","Region",NA,"Région Maritime"
4,230,"TGO","Togo",4,"Plateaux","Région","Region",NA,"Région des Plateaux"
5,230,"TGO","Togo",5,"Savanes","Région","Region",NA,"Région des Savanes"
