"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,83,"GAB","Gabon",1,"Estuaire","Province","Province",NA,NA
2,83,"GAB","Gabon",2,"Haut-Ogooué","Province","Province",NA,NA
3,83,"GAB","Gabon",3,"Moyen-Ogooué","Province","Province",NA,NA
4,83,"GAB","Gabon",4,"Ngounié","Province","Province",NA,"N'Gounié"
5,83,"GAB","Gabon",5,"Nyanga","Province","Province",NA,NA
6,83,"GAB","Gabon",6,"Ogooué-Ivindo","Province","Province",NA,NA
7,83,"GAB","Gabon",7,"Ogooué-Lolo","Province","Province",NA,NA
8,83,"GAB","Gabon",8,"Ogooué-Maritime","Province","Province",NA,NA
9,83,"GAB","Gabon",9,"Wouleu-Ntem","Province","Province",NA,"Woleu-Ntem"
